url,rawpoll_trump,rawpoll_clinton,rawpoll_johnson,rawpoll_mcmullin,state
http://media.wix.com/ugd/3bebb2_f41eb67b0e694f8ca80b020facc8d937.pdf,44,41,5,0,Iowa
http://www.cbsnews.com/news/cbs-battleground-poll-partisans-divide-on-news-of-fbi-emails/,45,48,3,0,North Carolina
https://www.surveymonkey.com/elections/map?poll=sm-lv-cps,36,52,7,0,Connecticut
https://www.surveymonkey.com/elections/map?poll=sm-lv-cps,30,56,6,0,Massachusetts
https://www.surveymonkey.com/elections/map?poll=sm-lv-cps,37,52,4,0,New Jersey
,43,2.237669,38,0,7Colorado
https://www.surveymonkey.com/elections/map?poll=sm-lv-cps,48,40,8,0,Missouri
http://www.surveyusa.com/client/PollReport.aspx?g=0e1d48a5-2698-448f-8f7a-fa2c92996543,49,38,7,0,Kansas
https://www.surveymonkey.com/elections/map?poll=sm-lv-cps,54,35,6,0,Kentucky
https://www.surveymonkey.com/elections/map?poll=sm-lv-cps,49,36,9,0,Kansas
https://www.surveymonkey.com/elections/map?poll=sm-lv-cps,39,46,10,0,Minnesota
http://opinionsavvy.com/wp-content/uploads/2016/11/OS-FL-General-11.7.16.pdf,46.4,48.4,3,0,Florida
https://www.surveymonkey.com/elections/map?poll=sm-lv-cps,57,32,10,0,Oklahoma
,45,2.186039,40,0,11New Mexico
https://drive.google.com/file/d/0B4lhKxf9pMitYTV0T1hDMnpDVkU/view,49.61,45.01,2.58,0,Nevada
http://media.wix.com/ugd/3bebb2_f1333cfb6e9f42ae9d2e9dd81053b33a.pdf,49.2,34.5,4.9,0,Texas
https://poll.qu.edu/2016-presidential-swing-state-polls/release-detail?ReleaseID=2399,43,48,3,0,Pennsylvania
https://www.surveymonkey.com/elections/map?poll=sm-lv-cps,28,59,6,0,Maryland
https://www.surveymonkey.com/elections/map?poll=sm-lv-cps,43,45,9,0,Nevada
https://www.uml.edu/docs/TOPLINE-NH-GENERAL-20161103_tcm18-264691.pdf,44,44,5,0,New Hampshire
https://luc.id/wp-content/uploads/2016/11/Arizona-Battleground-Results.pdf,42,41,8,0,Arizona
https://www.scribd.com/document/330232698/TargetSmart-William-Mary-Release-Final-2016-Election-Survey-of-Ohio-Early-and-Likely-Voters,43,40,8,0,Ohio
https://drive.google.com/file/d/0B4lhKxf9pMiteGplS1k1amdiVHc/view,44.33,44.77,5.04,0,Colorado
http://www.wthr.com/article/exclusive-wthrhpi-poll-young-pulls-ahead-of-bayh-in-senate-race,48,37,9,0,Indiana
https://www.surveymonkey.com/elections/map?poll=sm-lv-cps,55,36,6,0,Alabama
https://poll.qu.edu/2016-presidential-swing-state-polls/release-detail?ReleaseID=2399,46,41,5,0,Ohio
http://projects.fivethirtyeight.com/polls/20161101_Swing_1.pdf,45,49,3,0,Virginia
,45,2.080905,43,0,2Pennsylvania
http://media.wix.com/ugd/3bebb2_6ee2070379ba4a88bff29b1fa5aae9e0.pdf,41,44,8,0,Colorado
http://www.nbcnews.com/politics/first-read/polls-clinton-holds-9-point-lead-new-hampshire-tied-nevada-n673361,36,45,10,0,New Hampshire
http://observer.com/2016/11/stockton-new-jersey-poll-clinton-51-trump-40/,40,51,3,0,New Jersey
https://www.surveymonkey.com/elections/map?poll=sm-lv-cps,52,35,7,0,Nebraska
https://www.surveymonkey.com/elections/map?poll=sm-lv-cps,52,38,4,0,Louisiana
http://projects.fivethirtyeight.com/polls/20161101_Swing_1.pdf,42,46,5,0,Maine
https://poll.qu.edu/2016-presidential-swing-state-polls/release-detail?ReleaseID=2397,44,44,4,0,Iowa
https://luc.id/wp-content/uploads/2016/11/Colorado-Battleground-Results.pdf,37,44,9,0,Colorado
http://www.winthrop.edu/news-events/article.aspx?id=46011,39,44,5,0,Virginia
http://www.philly.com/philly/blogs/big_tent/Clinton-up-big-in-PA-says-new-FM-College-Poll.html,38,49,4,0,Pennsylvania
http://media.wix.com/ugd/3bebb2_6ee2070379ba4a88bff29b1fa5aae9e0.pdf,47,43,2,0,Arizona
http://www.surveyusa.com/client/PollReport.aspx?g=9749ea8d-a14e-4db8-bd3f-13cfb18c9d02,39,49,5,0,Minnesota
https://www.surveymonkey.com/elections/map?poll=sm-lv-cps,56,32,6,0,Arkansas
http://dfw.cbslocal.com/2016/11/01/donald-trump-surges-to-12-point-lead-in-texas/,51.53,39.39,2.96,0,Texas
http://www.gravispolls.com/2016/11/multi-state-polls.html?m=1,44,41,3,0,Alaska
https://poll.qu.edu/2016-presidential-swing-state-polls/release-detail?ReleaseID=2397,38,50,4,0,Virginia
https://luc.id/wp-content/uploads/2016/11/Nevada-Battleground-Results.pdf,38,45,7,0,Nevada
http://www.nbcnews.com/politics/first-read/polls-clinton-holds-9-point-lead-new-hampshire-tied-nevada-n673361,43,43,10,0,Nevada
https://today.yougov.com/news/2016/10/23/battlegrounds-presidential-race-tight-florida-and-/,46,43,5,0,Texas
http://www.firstcoastnews.com/news/unf-poll-shows-clinton-holds-a-slight-lead-over-trump-in-florida/343029691,39,43,6,0,Florida
https://gallery.mailchimp.com/5a280d25318f2afe3f311adb6/files/AZ_Statewide__LivePoll__Toplines_11_6.pdf,47,44,4,0,Arizona
http://www.runswitchpr.com/oct-2016-survey/,56,32,0,0,Kentucky
http://www.politico.com/states/f/?id=00000158-0ab5-d236-ad5d-dab74e5e0001,44,48,0,0,Florida
http://d279m997dpfwgl.cloudfront.net/wp/2016/11/Topline-2016-10-WBUR-NH-General-6.pdf,40,39,10,0,New Hampshire
https://www.monmouth.edu/polling-institute/reports/MonmouthPoll_UT_110316/,37,31,4,0,24Utah
http://media.wix.com/ugd/3bebb2_6ee2070379ba4a88bff29b1fa5aae9e0.pdf,51,42,2,0,Georgia
https://drive.google.com/file/d/0B4lhKxf9pMitRFdHQVQxZEJWVG8/view,49.13,44.16,3.59,0,North Carolina
http://www.mcall.com/news/local/elections/mc-pa-poll-trump-clinton-toomey-mcginty-20161105-story.html,40,44,7,0,Pennsylvania
http://www.11alive.com/news/politics/elections/exclusive-poll-donald-trump-will-win-georgia/343838078,49,42,3,0,Georgia
,52,1.84475,26,0,5Vermont
http://www.thestate.com/news/politics-government/article112299202.html,47,36,3,0,South Carolina
https://www.surveymonkey.com/elections/map?poll=sm-lv-cps,38,46,10,0,Maine
http://www.suffolk.edu/news/67865.php,42.2,41.8,5.4,0,New Hampshire
http://harperpolling.com/polls/pennsylvania-statewide-poll--11-2-3,46,46,2,0,Pennsylvania
http://projects.fivethirtyeight.com/polls/20161107_MI_1.pdf,41,47,7,0,Michigan
http://media.wix.com/ugd/3bebb2_06bcdf8a3e564f1ea6549d31229f4d73.pdf,52,23,0,0,Idaho
https://www.elon.edu/e/CmsFile/GetFile?FileID=694,41.2,42,2.6,0,North Carolina
https://www.surveymonkey.com/elections/map?poll=sm-lv-cps,38,40,16,0,New Mexico
http://dailycaller.com/2016/11/04/exclusive-poll-trump-clinton-tied-in-michigan/,44,44,4,0,Michigan
https://www.monmouth.edu/polling-institute/reports/MonmouthPoll_PA_110216/,44,48,3,0,Pennsylvania
http://www.rasmussenreports.com/public_content/politics/elections/election_2016/utah/election_2016_utah_president,42,31,3,0,21Utah
http://www.allianceesapoll.com/new-poll-results.html,40,46,6,0,New Hampshire
http://www.allianceesapoll.com/new-poll-results.html,43,49,4,0,North Carolina
http://www.allianceesapoll.com/new-poll-results.html,46,44,3,0,Pennsylvania
http://www.allianceesapoll.com/new-poll-results.html,43,44,5,0,Ohio
http://www.allianceesapoll.com/new-poll-results.html,44,44,5,0,Nevada
https://poll.qu.edu/2016-presidential-swing-state-polls/release-detail?ReleaseID=2397,44,43,8,0,Georgia
https://www.surveymonkey.com/elections/map?poll=sm-lv-cps,50,42,4,0,Mississippi
http://www.allianceesapoll.com/new-poll-results.html,45,47,2,0,Florida
http://politics.blog.ajc.com/2016/10/21/ajc-poll-trump-and-clinton-deadlocked-georgia/,44,42,9,0,Georgia
https://www.surveymonkey.com/elections/map?poll=sm-lv-cps,38,47,10,0,New Hampshire
https://www.monmouth.edu/polling-institute/reports/MonmouthPoll_MO_110116/,52,38,4,0,Missouri
http://www.loras.edu/wp-content/uploads/2016/11/LCP-NOV-IA-2016.pdf,43.4,44.2,3.2,0,Iowa
http://www.pressherald.com/2016/10/30/clinton-extends-her-lead-in-latest-maine-sunday-telegram-poll-of-voters/,37,48,5,0,Maine
http://americanresearchgroup.com/nhpoll/pres16/,48,43,0,0,New Hampshire
http://www.roanoke.edu/about/news/rc_poll_nov_2016_politics,38,45,5,0,Virginia
,42,1.684183,47,0,3Missouri
http://projects.fivethirtyeight.com/polls/20161029_1.pdf,45,48,4,0,North Carolina
http://www.documentcloud.org/documents/3213243-225-Crossley-Survey-Results-Media.html,39,39,5,0,Colorado
https://www.monmouth.edu/polling-institute/reports/MonmouthPoll_IN_103116/,50,39,4,0,Indiana
https://www.surveymonkey.com/elections/map?poll=sm-lv-cps,47,29,6,0,Idaho
http://www.loras.edu/news/clinton-maintains-lead-wisconsin-feingold-johnson-tight-race-loras-college-poll-finds/,37.9,43.9,6.8,0,Wisconsin
http://www.deseretnews.com/article/865666429/New-poll-shows-voter-uncertainty-about-Trump-lead-in-Utah.html,33,24,5,0,28Utah
http://polls.saintleo.edu/clinton-lead-growing-in-florida-and-across-the-u-s-in-new-saint-leo-poll-and-most-expect-her-to-win-the-presidency/,36.95,50.4,4.95,0,Florida
http://www.smartmoslb.org/Missouri%20Rail%20Survey%20November%202016%20(002).pdf,47,38,3,0,Missouri
http://www.babbagecofounder.com/2016/11/01/paul-trump-lead-final-cofounder-pulse-poll/,38.2,24.8,7,0,Kentucky
https://www.scribd.com/document/329698329/TargetSmart-William-Mary-Florida-Poll-of-Early-and-Likely-Voters,40,48,3,0,Florida
http://big.assets.huffingtonpost.com/Victory.Research.Illinois.10.18.16.pdf,36.1,51.2,5.6,0,Illinois
http://www.insightswest.com/news/clinton-is-ahead-of-trump-as-u-s-presidential-election-approaches/,36,51,4,0,Washington
http://www.insightswest.com/news/clinton-is-ahead-of-trump-as-u-s-presidential-election-approaches/,35,58,3,0,California
http://opinionsavvy.com/wp-content/uploads/2016/11/OS-GA-General-11.4.16.pdf,48.5,44.7,5.6,0,Georgia
http://www.insightswest.com/news/clinton-is-ahead-of-trump-as-u-s-presidential-election-approaches/,47,45,5,0,Arizona
http://magellanstrategies.com/wp-content/uploads/2016/11/Magellan-Strategies-Colorado-US-President-Survey-Summary-110316.pdf,37.6,44.1,7,0,Colorado
http://projects.fivethirtyeight.com/polls/20161101_Swing_1.pdf,41,53,2,0,Illinois
https://fulbright.uark.edu/departments/political-science/partners/arkpoll/2016/Arkansas-Poll-Release-2016.pdf,51.1,31.3,0,0,Arkansas
http://www.realclearpolitics.com/docs/2016/Trafalgar_Ohio_October_27th_2016.pdf,48.54,44.15,1.89,0,Ohio
http://www.lasvegasnow.com/news/nvelection-8-news-now-poll-finds-clinton-trump-races-tied,45,45,4,0,Nevada
http://www.reviewjournal.com/politics/election-2016/rj-poll-shows-clinton-pulling-away-trump-nevada?test,41,48,6,0,Nevada
http://www.loras.edu/news/clinton-tops-trump-illinois-duckworth-remains-lead-senate-loras-college-poll-finds/,34,45,6,0,Illinois
https://luc.id/wp-content/uploads/2016/11/New-Mexico-Battleground-Results.pdf,31,39,22,0,New Mexico
http://www.insightswest.com/news/clinton-is-ahead-of-trump-as-u-s-presidential-election-approaches/,42,42,4,0,Nevada
,1.473267,lv,41,0,34Oregon
http://static.politico.com/8a/b1/6632d7e147899c4489dd14a84e17/161024-states-statewidetrack.pdf,41,44,4,0,Florida
http://projects.fivethirtyeight.com/polls/20161101_KY.pdf,54,37,1,0,Kentucky
http://www.newsmax.com/Politics/donald-trump-florida-lead-dixie-strategies/2016/10/27/id/755672/,45.7,42.4,0,0,Florida
,47,1.452589,39,0,6Minnesota
http://www.mystatesman.com/news/news/state-regional-govt-politics/new-texas-polls-shows-trump-with-small-but-safe-le/nsx2d/,45,38,7,0,Texas
https://www.scribd.com/document/329381966/Tribune-Presidential-Poll,32,24,4,0,30Utah
http://www1.wne.edu/news/2016/11/PollingTables_FINAL_11_04_16.pdf,26,56,8,0,Massachusetts
https://www.surveymonkey.com/elections/map?poll=sm-lv-cps,56,29,7,0,West Virginia
http://www.ksfy.com/content/news/Poll-Trump-Thune-hold-double-digit-leads-in-South-Dakota-398112241.html,48,37,6,0,South Dakota
http://media.wix.com/ugd/3bebb2_16b97664735d4325b018b7b608477434.pdf,43,48,6,0,Pennsylvania
https://www.surveymonkey.com/elections/map?poll=sm-lv-cps,53,32,11,0,South Dakota
https://www.surveymonkey.com/elections/map?poll=sm-lv-cps,25,61,6,0,Vermont
https://www.documentcloud.org/documents/3173866-Elway-Poll-102416.html,31,48,1,0,Washington
https://www.surveymonkey.com/elections/map?poll=sm-lv-cps,52,30,11,0,Montana
http://www.rasmussenreports.com/platinum/election_2016_state_polls/crosstabs_election_2016_idaho_president_october_20_22_2016,48,29,6,0,Idaho
http://www.suffolk.edu/academics/10732.php,25,57,4,0,Massachusetts
http://boston.cbslocal.com/2016/10/27/wbz-poll-new-hampshire-presidential-race-clinton-trump/,38,43,8,0,New Hampshire
http://projects.fivethirtyeight.com/polls/20161029_1.pdf,45,46,4,0,Florida
http://mprc.me/research/1016_presidential3.pdf,37,42,9,0,Maine
https://www.surveymonkey.com/elections/map?poll=sm-lv-cps,28,52,9,0,Hawaii
http://files.constantcontact.com/9c83fb30501/a28d624b-bd7e-46a7-a024-573e184bd3bb.pdf,39,46,8,0,North Carolina
,36,1.342857,46,0,11Montana
http://projects.fivethirtyeight.com/polls/20161101_Swing_1.pdf,42.5,48.8,4.2,0,Maine CD-1
http://projects.fivethirtyeight.com/polls/20161101_Swing_1.pdf,42.2,43.6,6.3,0,Maine CD-2
https://www.surveymonkey.com/elections/map?poll=sm-lv-cps,36,48,6,0,Rhode Island
http://www.bloomberg.com/politics/articles/2016-10-13/pennsylvania-poll,39,48,6,0,Pennsylvania
http://media.wix.com/ugd/3bebb2_c4ce441cb55942e99e386bf56daef127.pdf,65,20,0,0,Nebraska CD-3
http://media.wix.com/ugd/3bebb2_c4ce441cb55942e99e386bf56daef127.pdf,53,29,0,0,Nebraska CD-1
https://www.monmouth.edu/polling-institute/reports/MonmouthPoll_NH_102616/,42,46,7,0,New Hampshire
https://www.surveymonkey.com/elections/map?poll=sm-lv-cps,48,31,12,0,Alaska
http://media.wix.com/ugd/3bebb2_16b97664735d4325b018b7b608477434.pdf,43,50,3,0,Michigan
https://www.scribd.com/document/328156011/ME-02-Clarity-Campaign-Labs-for-House-Majority-PAC-Oct-2016,39,39,0,0,Maine CD-2
,34,1.283125,54,0,2Louisiana
https://medium.com/@alexanderpower/new-presidential-polls-in-idaho-alaska-80a338dc851d,39,38,11,0,Alaska
